,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,oberserver,notes,length_of_observation,date,cage_#,winner,loser,action,1,2,3,4,sheet_name,session_number_difference,,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,experiment_type,cohort
63,32,3.4,3.3,972.6,962.9,0,3,2,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
64,33,3.4,3.3,962.9,973.7,1,3,2,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.4,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
65,33,3.3,3.4,991.5,980.7,0,2,3,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.4,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
66,34,3.1,3.4,1133.3,1139.0,1,1,3,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,f,1.0,-1.0,-1.0,-1.0,CAGE3,1.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
67,34,3.4,3.1,973.7,968.0,0,3,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,f,1.0,-1.0,-1.0,-1.0,CAGE3,1.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
68,35,3.1,3.4,1139.0,1144.4,1,1,3,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
69,35,3.4,3.1,968.0,962.6,0,3,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
70,36,3.1,3.2,1144.4,1148.6,1,1,4,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
71,36,3.2,3.1,912.3,908.1,0,4,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
72,37,3.1,3.2,1148.6,1152.6,1,1,4,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
73,37,3.2,3.1,908.1,904.1,0,4,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
74,38,3.1,3.2,1152.6,1156.5,1,1,4,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
75,38,3.2,3.1,904.1,900.2,0,4,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
76,39,3.1,3.2,1156.5,1160.2,1,1,4,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
77,39,3.2,3.1,900.2,896.5,0,4,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
78,40,3.1,3.2,1160.2,1163.8,1,1,4,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
